gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
-9.46,-30.94,-18.80,0.99,-0.15,0.16,0
3.30,-28.99,-21.06,0.97,-0.21,0.16,0
7.69,-27.22,-22.40,0.98,-0.22,0.15,0
5.00,-23.19,-25.57,0.97,-0.26,0.17,0
2.01,-15.20,-32.04,0.95,-0.25,0.16,0
-1.16,-5.55,-42.30,1.00,-0.28,0.11,0
-9.09,3.85,-54.14,0.96,-0.32,0.14,0
-8.36,9.34,-62.13,0.99,-0.24,0.16,0
-7.20,13.61,-69.95,0.95,-0.22,0.20,0
-0.85,17.76,-74.65,0.94,-0.23,0.17,0
4.52,23.93,-70.74,0.94,-0.22,0.18,0
8.12,32.04,-62.26,0.94,-0.20,0.15,0
19.96,41.69,-56.88,0.86,-0.31,0.20,0
19.78,51.09,-54.38,0.91,-0.30,0.17,0
16.36,59.94,-45.59,0.91,-0.27,0.14,0
22.64,65.19,-38.09,0.91,-0.24,0.10,0
28.44,69.89,-33.33,0.93,-0.29,0.19,0
13.43,78.92,-26.79,0.91,-0.27,0.14,0
12.02,83.80,-24.96,0.93,-0.29,-0.03,0
12.57,78.61,-25.15,0.97,-0.30,0.04,0
3.11,77.64,-21.67,0.97,-0.16,-0.02,0
29.85,64.88,-26.98,0.98,-0.18,-0.01,0
39.61,53.41,-31.74,1.00,-0.24,0.04,0
25.27,49.38,-40.83,1.06,-0.34,-0.20,0
19.47,22.46,-46.14,0.85,-0.46,-0.12,0
11.29,9.58,-31.01,0.87,-0.46,0.02,0
15.14,9.89,-16.42,0.95,-0.37,0.03,0
11.84,11.96,-9.28,1.00,-0.39,0.00,0
5.00,8.67,-6.16,1.00,-0.40,-0.01,0
1.10,3.78,-4.27,0.97,-0.38,-0.02,0
-2.69,0.31,-0.31,0.99,-0.44,-0.05,0
-11.72,-2.56,4.09,0.98,-0.53,-0.10,0
-33.26,-8.36,9.83,0.98,-0.57,-0.12,0
-52.55,-17.09,14.34,1.00,-0.46,-0.09,0
