gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
-27.10,14.65,4.09,0.96,-0.19,-0.14,0
-24.96,13.85,3.78,0.97,-0.17,-0.12,0
-21.97,10.86,3.48,0.96,-0.15,-0.14,0
-18.62,10.01,5.98,0.89,-0.19,-0.19,0
-17.52,14.40,8.67,0.99,-0.19,-0.15,0
-16.78,15.14,9.40,0.96,-0.18,-0.12,0
-15.32,11.41,9.70,0.97,-0.19,-0.15,0
-13.31,9.58,10.56,0.98,-0.20,-0.14,0
-12.70,6.23,8.91,1.00,-0.19,-0.14,0
-12.57,1.77,7.08,0.99,-0.17,-0.14,0
-11.72,-1.40,5.98,0.98,-0.17,-0.14,0
-9.83,-4.33,5.25,0.98,-0.17,-0.13,0
-7.87,-6.59,4.39,0.97,-0.18,-0.13,0
-6.23,-7.39,3.72,0.95,-0.18,-0.14,0
-5.68,-6.23,3.91,0.95,-0.18,-0.13,0
-5.74,-4.27,4.21,0.95,-0.18,-0.14,0
-6.16,-2.01,4.39,0.96,-0.17,-0.14,0
-5.25,-0.18,4.94,0.96,-0.17,-0.14,0
-4.27,1.89,5.55,0.96,-0.18,-0.15,0
-4.46,3.97,6.04,0.96,-0.19,-0.14,0
-5.07,4.88,5.92,0.95,-0.19,-0.14,0
-4.94,5.62,5.19,0.95,-0.19,-0.15,0
-5.07,6.77,4.70,0.96,-0.18,-0.15,0
-5.62,7.75,4.64,0.97,-0.18,-0.15,0
-5.55,7.75,4.27,0.97,-0.19,-0.14,0
-4.76,7.08,3.30,0.97,-0.19,-0.15,0
-4.58,6.84,2.26,0.96,-0.18,-0.15,0
-4.39,7.20,1.59,0.96,-0.19,-0.15,0
-4.33,7.08,1.22,0.96,-0.18,-0.15,0
-3.72,6.59,1.28,0.97,-0.19,-0.15,0
-3.36,5.68,0.55,0.97,-0.19,-0.14,0
-2.69,4.70,-0.18,0.95,-0.18,-0.15,0
-1.28,3.97,0.43,0.94,-0.18,-0.16,0
0.00,3.97,1.77,0.94,-0.18,-0.16,0
1.40,4.27,2.81,0.95,-0.19,-0.16,0
2.50,4.76,3.48,0.94,-0.19,-0.17,0
2.50,5.68,3.72,0.94,-0.18,-0.18,0
2.20,6.77,4.64,0.96,-0.18,-0.19,0
1.46,7.45,5.00,0.97,-0.18,-0.18,0
1.22,7.69,4.33,0.97,-0.18,-0.18,0
0.85,7.02,3.05,0.97,-0.19,-0.18,0
0.67,6.10,1.83,0.97,-0.18,-0.19,0
0.85,5.43,1.22,0.97,-0.18,-0.19,0
1.34,4.52,1.34,0.97,-0.18,-0.19,0
1.83,3.48,1.16,0.96,-0.18,-0.19,0
2.50,3.11,0.98,0.95,-0.18,-0.20,0
3.05,3.48,1.10,0.95,-0.18,-0.21,0
3.30,3.85,1.40,0.95,-0.18,-0.22,0
2.87,4.21,1.65,0.96,-0.19,-0.22,0
2.50,4.21,1.71,0.96,-0.18,-0.22,0
2.14,3.72,1.46,0.95,-0.19,-0.22,0
2.01,3.60,1.28,0.95,-0.19,-0.22,0
2.50,3.11,1.10,0.95,-0.19,-0.22,0
3.05,2.01,1.16,0.94,-0.20,-0.22,0
3.05,1.34,1.34,0.94,-0.20,-0.22,0
2.56,0.79,1.53,0.94,-0.20,-0.22,0
2.81,0.49,1.59,0.94,-0.20,-0.22,0
3.23,0.00,1.22,0.93,-0.20,-0.22,0
3.60,0.24,2.01,0.91,-0.19,-0.22,0
3.97,1.59,3.05,0.91,-0.18,-0.22,0
4.58,2.99,4.64,0.92,-0.19,-0.22,0
4.27,4.09,6.16,0.94,-0.17,-0.22,0
3.78,5.43,6.84,0.95,-0.17,-0.22,0
3.72,6.90,6.47,0.97,-0.16,-0.22,0
3.11,7.81,6.23,0.97,-0.18,-0.22,0
1.22,8.36,4.88,0.98,-0.18,-0.23,0
-1.34,9.09,3.60,0.97,-0.15,-0.23,0
-2.20,10.31,3.17,0.97,-0.15,-0.23,0
