gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
4.39,6.04,27.89,0.95,0.34,0.12,1
9.70,-2.01,33.69,0.95,0.25,0.12,1
9.34,-7.14,35.89,0.98,0.29,0.09,1
8.06,-10.56,32.10,0.99,0.29,0.05,1
9.40,-10.93,25.94,1.00,0.33,0.02,1
9.22,-7.75,19.29,0.97,0.30,-0.02,1
4.76,0.12,14.28,0.95,0.28,-0.02,1
-3.60,10.25,9.16,0.95,0.25,0.00,1
-13.43,18.98,3.23,0.96,0.27,0.02,1
-21.30,24.84,-2.56,0.98,0.30,0.08,1
-22.71,22.77,-6.29,1.01,0.35,0.15,1
-17.64,16.72,-6.29,0.98,0.37,0.16,1
-8.85,9.77,-5.49,0.95,0.41,0.12,1
1.16,5.37,-0.85,0.97,0.40,0.15,1
11.05,0.55,6.90,0.96,0.32,0.16,1
16.48,-2.32,9.89,0.94,0.33,0.11,1
18.98,-1.65,9.40,0.93,0.33,0.05,1
17.21,2.32,9.89,0.96,0.29,0.01,1
8.24,5.68,7.93,0.99,0.29,-0.00,1
-1.77,7.14,2.56,1.00,0.33,0.00,1
-7.32,8.00,-2.93,1.00,0.34,0.02,1
-8.97,9.16,-6.84,1.01,0.34,0.06,1
-8.61,8.79,-11.17,1.01,0.37,0.10,1
-4.33,5.92,-13.43,0.96,0.41,0.09,1
2.14,4.46,-10.19,0.92,0.38,0.09,1
5.98,5.80,-3.42,0.91,0.35,0.08,1
5.13,8.24,4.27,0.91,0.38,0.07,1
4.82,10.07,11.96,0.93,0.35,0.07,1
3.97,10.99,18.07,0.95,0.32,0.06,1
0.00,11.96,21.91,0.97,0.36,0.03,1
-3.48,14.95,23.93,1.00,0.37,0.04,1
-3.30,18.19,24.60,1.04,0.35,0.06,1
-1.04,20.81,19.78,1.06,0.35,0.05,1
2.01,25.02,9.16,1.03,0.40,0.01,1
3.60,29.60,3.17,0.99,0.41,0.00,1
1.71,32.23,3.78,0.95,0.43,-0.01,1
0.49,34.18,8.61,0.93,0.42,-0.00,1
-0.79,37.23,14.28,0.96,0.38,0.04,1
-0.73,38.88,17.64,0.97,0.38,0.03,1
0.00,38.64,18.80,0.99,0.41,0.03,1
2.20,36.07,19.47,1.01,0.42,0.03,1
5.13,27.71,21.24,1.01,0.45,0.03,1
9.28,15.50,24.48,1.01,0.41,0.03,1
13.79,7.26,25.02,1.00,0.38,0.01,1
17.03,4.52,20.20,1.00,0.36,-0.02,1
17.40,6.71,13.55,0.99,0.36,-0.07,1
13.79,14.04,5.31,1.03,0.35,-0.10,1
6.65,20.75,-7.51,1.09,0.34,-0.12,1
-2.87,24.78,-23.19,1.10,0.35,-0.17,1
-14.22,31.31,-39.18,1.08,0.40,-0.18,1
-25.51,39.06,-51.45,1.07,0.39,-0.16,1
-34.79,44.56,-59.63,1.07,0.43,-0.10,1
-37.72,45.53,-64.15,1.07,0.45,-0.04,1
-34.18,41.75,-66.10,1.07,0.46,0.01,1
-26.37,33.51,-67.02,1.08,0.48,0.03,1
-16.97,23.93,-65.92,1.07,0.46,0.02,1
-8.48,16.85,-63.90,1.09,0.46,0.03,1
-1.65,10.01,-62.81,1.09,0.44,0.01,1
4.94,4.70,-63.29,1.07,0.42,-0.04,1
7.51,2.50,-64.39,1.07,0.40,-0.08,1
6.96,3.05,-65.25,1.08,0.37,-0.11,1
4.39,4.94,-68.36,1.10,0.35,-0.11,1
0.85,6.35,-73.12,1.09,0.33,-0.13,1
-5.19,8.06,-78.61,1.08,0.33,-0.14,1
-11.17,10.38,-83.68,1.10,0.33,-0.07,1
-12.88,8.73,-89.54,1.11,0.36,0.00,1
-7.51,0.55,-93.14,1.08,0.35,0.00,1
-0.67,-8.30,-94.18,1.03,0.35,-0.01,1
6.47,-12.88,-92.04,1.00,0.31,-0.04,1
12.39,-12.70,-89.60,1.00,0.27,-0.06,1
15.81,-11.23,-88.01,0.93,0.15,-0.10,1
4.64,-5.13,-86.24,0.98,0.20,-0.16,1
-4.33,0.31,-85.21,0.95,0.11,-0.14,1
-10.50,8.48,-88.56,0.96,0.17,-0.13,1
-11.05,12.02,-91.37,0.95,0.13,-0.13,1
-11.72,14.71,-95.52,0.98,0.13,-0.12,1
-12.51,14.65,-101.56,1.03,0.15,-0.10,1
-1.65,10.86,-111.82,0.95,0.22,-0.06,1
20.63,3.66,-124.94,1.10,0.17,0.00,1
11.47,-0.06,-122.31,0.93,0.02,-0.14,1
-14.40,4.27,-110.23,0.85,0.06,-0.18,1
-12.02,11.54,-106.57,0.88,0.01,-0.10,1
2.01,16.85,-109.13,0.91,-0.04,-0.08,1
-0.24,16.42,-106.87,0.80,-0.06,-0.19,1
-10.86,19.53,-97.84,0.78,-0.15,-0.22,1
-16.72,26.06,-92.35,0.84,-0.17,-0.20,1
-19.96,30.52,-94.06,0.90,-0.13,-0.13,1
-22.16,27.89,-97.23,0.91,-0.15,-0.09,1
-21.30,21.06,-100.59,0.91,-0.11,-0.04,1
-13.55,8.30,-101.62,0.91,-0.09,0.00,1
-3.60,-5.37,-99.18,0.90,-0.11,-0.01,1
5.13,-14.28,-96.86,0.83,-0.13,-0.10,1
9.77,-15.20,-94.24,0.80,-0.16,-0.15,1
9.52,-9.89,-90.39,0.82,-0.21,-0.16,1
6.04,-1.59,-88.62,0.83,-0.24,-0.18,1
1.46,9.09,-90.15,0.85,-0.26,-0.19,1
-3.11,18.43,-92.77,0.87,-0.28,-0.21,1
-9.46,25.21,-95.76,0.90,-0.32,-0.19,1
-16.05,28.87,-101.44,0.90,-0.31,-0.15,1
-17.94,27.34,-107.18,0.90,-0.30,-0.10,1
-15.01,19.90,-108.76,0.87,-0.33,-0.08,1
-12.33,7.51,-108.28,0.84,-0.32,-0.07,1
-7.20,-3.97,-103.58,0.81,-0.34,-0.08,1
-2.26,-11.47,-99.18,0.77,-0.34,-0.10,1
2.14,-15.50,-94.91,0.77,-0.37,-0.10,1
6.10,-16.17,-91.43,0.77,-0.41,-0.10,1
6.90,-14.65,-90.27,0.77,-0.43,-0.13,1
5.13,-11.41,-91.37,0.77,-0.45,-0.15,1
1.53,-8.06,-93.57,0.75,-0.41,-0.17,1
-2.56,-3.48,-93.08,0.75,-0.44,-0.14,1
-4.88,1.65,-91.74,0.76,-0.47,-0.10,1
-5.92,5.31,-91.43,0.77,-0.48,-0.08,1
-6.16,6.59,-91.55,0.76,-0.51,-0.10,1
-6.77,7.69,-94.24,0.76,-0.52,-0.10,1
-8.36,8.00,-97.72,0.76,-0.50,-0.11,1
-10.62,8.36,-99.55,0.75,-0.49,-0.08,1
-9.46,6.77,-101.32,0.74,-0.53,-0.06,1
-6.23,3.54,-101.32,0.71,-0.55,-0.07,1
-3.91,0.24,-100.16,0.66,-0.59,-0.08,1
-1.46,-0.92,-99.24,0.62,-0.63,-0.09,1
-0.24,-0.49,-97.60,0.59,-0.66,-0.08,1
0.00,0.24,-93.99,0.57,-0.64,-0.08,1
2.08,0.37,-88.87,0.56,-0.68,-0.08,1
5.31,0.12,-84.47,0.56,-0.69,-0.07,1
8.06,-2.38,-80.51,0.56,-0.69,-0.08,1
9.95,-4.88,-76.29,0.56,-0.70,-0.08,1
11.60,-6.23,-73.24,0.56,-0.70,-0.08,1
14.04,-6.84,-71.29,0.56,-0.71,-0.08,1
15.63,-7.14,-69.82,0.56,-0.72,-0.08,1
15.38,-6.84,-68.66,0.55,-0.74,-0.10,1
15.50,-5.25,-69.52,0.52,-0.77,-0.14,1
14.22,-1.16,-70.37,0.50,-0.78,-0.16,1
10.86,3.97,-70.43,0.49,-0.78,-0.16,1
8.48,8.85,-69.34,0.49,-0.79,-0.13,1
8.24,11.60,-67.32,0.51,-0.79,-0.10,1
8.85,10.99,-65.86,0.52,-0.78,-0.08,1
11.54,6.77,-63.90,0.52,-0.75,-0.05,1
16.60,-0.18,-61.04,0.53,-0.75,-0.02,1
24.90,-9.28,-57.01,0.53,-0.76,-0.03,1
32.59,-17.27,-53.10,0.50,-0.78,-0.06,1
37.05,-20.69,-50.90,0.46,-0.79,-0.11,1
37.84,-18.98,-49.56,0.44,-0.82,-0.14,1
36.38,-13.92,-48.83,0.42,-0.85,-0.16,1
33.14,-7.69,-48.52,0.41,-0.84,-0.19,1
29.42,-0.92,-47.61,0.40,-0.85,-0.20,1
25.94,4.88,-46.88,0.41,-0.88,-0.18,1
23.38,9.16,-45.84,0.41,-0.88,-0.17,1
21.48,12.39,-44.68,0.41,-0.88,-0.15,1
21.55,12.76,-44.07,0.40,-0.89,-0.14,1
21.61,10.19,-43.52,0.40,-0.92,-0.13,1
21.73,5.43,-43.15,0.40,-0.91,-0.15,1
22.89,0.92,-43.95,0.39,-0.91,-0.16,1
24.54,-2.14,-45.59,0.38,-0.91,-0.17,1
25.76,-5.07,-47.24,0.34,-0.92,-0.21,1
24.23,-4.39,-46.45,0.33,-0.93,-0.21,1
21.42,-1.22,-43.46,0.31,-0.94,-0.23,1
19.47,4.03,-40.41,0.30,-0.95,-0.23,1
17.76,9.83,-38.39,0.30,-0.94,-0.22,1
17.58,14.16,-36.38,0.32,-0.95,-0.20,1
17.64,15.93,-35.16,0.33,-0.95,-0.18,1
17.64,13.73,-35.34,0.34,-0.95,-0.17,1
17.58,9.58,-35.89,0.32,-0.95,-0.18,1
16.72,7.57,-36.62,0.30,-0.96,-0.19,1
15.01,8.79,-36.68,0.28,-0.97,-0.22,1
13.37,12.08,-35.34,0.27,-0.96,-0.23,1
12.33,16.72,-33.45,0.27,-0.98,-0.25,1
10.93,21.61,-31.74,0.26,-0.98,-0.25,1
9.28,24.84,-28.69,0.26,-0.99,-0.25,1
8.12,28.02,-24.48,0.28,-0.98,-0.23,1
8.48,29.79,-20.81,0.28,-0.98,-0.23,1
9.03,28.08,-18.19,0.27,-0.97,-0.23,1
8.67,24.60,-14.22,0.26,-0.96,-0.22,1
9.52,22.58,-9.40,0.26,-0.96,-0.21,1
12.94,23.07,-6.71,0.28,-0.96,-0.20,1
15.87,23.86,-6.41,0.30,-0.95,-0.20,1
18.19,19.78,-6.71,0.33,-0.95,-0.20,1
21.06,12.57,-6.84,0.31,-0.94,-0.23,1
23.86,8.54,-6.84,0.29,-0.95,-0.26,1
25.09,8.79,-5.74,0.27,-0.96,-0.28,1
24.35,10.31,-2.99,0.29,-0.97,-0.30,1
23.44,12.45,-1.40,0.31,-0.97,-0.31,1
22.40,13.61,-1.89,0.32,-0.95,-0.31,1
21.79,12.94,-2.75,0.34,-0.95,-0.30,1
21.67,10.99,-2.50,0.34,-0.95,-0.31,1
21.12,10.19,-2.26,0.32,-0.93,-0.32,1
20.14,10.50,-1.89,0.32,-0.92,-0.30,1
20.20,10.44,-0.79,0.33,-0.93,-0.31,1
21.06,11.41,-0.61,0.34,-0.94,-0.30,1
22.03,11.11,-2.87,0.35,-0.93,-0.31,1
22.64,6.65,-5.55,0.34,-0.93,-0.32,1
22.09,1.59,-6.16,0.33,-0.94,-0.33,1
20.87,-0.55,-6.16,0.30,-0.94,-0.35,1
18.13,0.43,-5.13,0.30,-0.94,-0.36,1
15.50,2.26,-2.99,0.30,-0.95,-0.36,1
12.76,4.27,-2.14,0.31,-0.95,-0.37,1
11.05,5.68,-1.65,0.29,-0.93,-0.36,1
10.93,6.96,-0.37,0.30,-0.95,-0.35,1
11.35,8.12,0.79,0.30,-0.95,-0.34,1
11.23,8.30,1.22,0.30,-0.94,-0.34,1
11.47,7.39,1.77,0.32,-0.95,-0.33,1
11.66,5.00,1.53,0.32,-0.94,-0.34,1
12.08,2.44,0.37,0.31,-0.92,-0.35,1
13.18,0.92,0.12,0.31,-0.93,-0.35,1
13.49,1.53,0.18,0.30,-0.93,-0.37,1
12.15,3.11,0.06,0.32,-0.93,-0.36,1
10.13,3.36,-0.31,0.32,-0.94,-0.38,1
6.84,2.08,-0.37,0.32,-0.92,-0.36,1
5.07,1.53,0.06,0.31,-0.93,-0.36,1
3.72,2.14,1.40,0.32,-0.92,-0.36,1
3.23,2.38,2.75,0.32,-0.92,-0.36,1
3.23,3.17,2.87,0.33,-0.93,-0.37,1
2.93,4.33,2.50,0.34,-0.92,-0.36,1
2.01,4.88,1.65,0.36,-0.90,-0.35,1
2.01,4.03,0.24,0.35,-0.88,-0.35,1
2.62,2.62,-0.18,0.35,-0.87,-0.36,1
2.93,2.32,0.67,0.35,-0.87,-0.36,1
3.17,3.05,1.34,0.36,-0.86,-0.37,1
2.99,4.88,1.16,0.37,-0.86,-0.36,1
2.26,6.23,0.55,0.38,-0.85,-0.36,1
2.75,6.23,0.00,0.40,-0.85,-0.34,1
3.48,4.94,-1.40,0.40,-0.84,-0.35,1
4.21,3.85,-2.44,0.41,-0.82,-0.35,1
5.62,4.15,-3.36,0.44,-0.82,-0.34,1
7.51,3.91,-5.43,0.46,-0.80,-0.34,1
10.01,0.49,-7.75,0.46,-0.81,-0.35,1
11.11,-2.75,-10.74,0.43,-0.81,-0.37,1
9.70,-4.82,-12.39,0.40,-0.84,-0.37,1
7.45,-4.70,-12.94,0.36,-0.88,-0.38,1
3.60,-1.77,-14.04,0.32,-0.90,-0.39,1
-0.18,2.50,-14.89,0.30,-0.92,-0.38,1
-3.17,5.62,-15.32,0.27,-0.95,-0.35,1
-5.07,5.98,-15.20,0.25,-0.98,-0.33,1
-5.00,4.21,-13.79,0.22,-1.00,-0.32,1
-2.99,1.77,-11.78,0.19,-1.02,-0.30,1
0.31,-1.16,-9.70,0.17,-1.02,-0.29,1
4.39,-3.11,-7.26,0.15,-1.02,-0.31,1
7.63,-2.14,-4.15,0.15,-1.01,-0.32,1
8.91,-1.77,-0.12,0.18,-1.02,-0.33,1
8.79,-2.26,2.26,0.20,-1.01,-0.35,1
6.90,-1.53,2.62,0.22,-1.00,-0.35,1
4.46,-2.62,3.36,0.24,-0.99,-0.35,1
1.40,-4.03,4.58,0.25,-0.99,-0.36,1
-1.28,-2.99,4.33,0.25,-0.98,-0.37,1
-3.72,0.24,3.78,0.26,-0.96,-0.35,1
-4.94,1.89,4.39,0.27,-0.96,-0.33,1
-4.58,1.40,5.31,0.26,-0.97,-0.33,1
-4.88,0.73,5.62,0.25,-0.97,-0.32,1
-5.49,0.12,5.86,0.23,-0.98,-0.33,1
-6.77,0.67,6.96,0.22,-0.99,-0.33,1
-8.00,1.71,7.57,0.20,-1.00,-0.33,1
-8.97,2.75,8.36,0.18,-1.01,-0.33,1
-9.40,2.93,10.68,0.18,-1.04,-0.33,1
-9.64,2.38,13.18,0.16,-1.07,-0.34,1
-11.05,2.87,15.26,0.14,-1.06,-0.37,1
-12.76,5.13,18.37,0.14,-1.05,-0.38,1
-13.55,8.97,22.22,0.15,-1.05,-0.37,1
-14.53,12.63,25.27,0.17,-1.03,-0.35,1
-14.40,14.59,28.50,0.18,-1.01,-0.35,1
-14.22,15.93,31.80,0.20,-1.00,-0.35,1
-14.65,16.85,34.91,0.20,-0.99,-0.34,1
-15.44,17.46,37.29,0.21,-0.98,-0.33,1
-16.11,18.01,39.55,0.22,-0.98,-0.32,1
-15.50,17.76,41.08,0.23,-0.98,-0.32,1
-14.47,17.46,42.72,0.23,-0.98,-0.32,1
-14.22,16.60,44.49,0.23,-0.98,-0.32,1
-14.65,15.81,46.45,0.22,-0.97,-0.32,1
-14.65,16.17,49.26,0.23,-0.97,-0.31,1
-14.40,17.33,52.19,0.25,-0.96,-0.30,1
-14.22,17.82,54.50,0.27,-0.95,-0.30,1
-14.47,17.52,56.52,0.28,-0.95,-0.29,1
-15.20,16.54,57.92,0.28,-0.94,-0.29,1
-16.24,16.11,59.45,0.28,-0.93,-0.29,1
-16.30,16.48,61.58,0.30,-0.93,-0.29,1
-17.09,17.03,62.32,0.31,-0.93,-0.29,1
-18.43,17.15,62.32,0.33,-0.90,-0.28,1
-18.13,15.63,61.77,0.34,-0.90,-0.27,1
-17.52,14.47,60.73,0.35,-0.91,-0.27,1
-18.31,14.59,59.69,0.34,-0.90,-0.27,1
-19.90,15.32,58.53,0.32,-0.88,-0.28,1
-22.28,15.63,59.88,0.33,-0.87,-0.27,1
-24.23,15.81,62.68,0.36,-0.89,-0.24,1
-24.35,15.93,63.35,0.38,-0.89,-0.22,1
-23.86,15.14,62.44,0.40,-0.89,-0.20,1
-22.89,13.73,62.19,0.43,-0.88,-0.17,1
-19.35,13.24,62.19,0.45,-0.87,-0.15,1
-14.95,15.63,61.10,0.47,-0.85,-0.14,1
-11.29,19.29,60.12,0.44,-0.79,-0.18,1
-10.68,22.64,62.32,0.40,-0.72,-0.23,1
-12.21,25.45,69.70,0.42,-0.71,-0.22,1
-13.00,27.47,77.88,0.47,-0.75,-0.20,1
-14.40,27.59,79.04,0.49,-0.76,-0.21,1
-15.44,27.22,73.67,0.50,-0.74,-0.21,1
-16.54,25.94,67.75,0.49,-0.74,-0.20,1
-18.25,22.34,63.29,0.48,-0.75,-0.20,1
-21.00,19.35,59.51,0.46,-0.75,-0.20,1
-22.89,18.80,55.11,0.44,-0.75,-0.20,1
-24.05,20.81,51.03,0.39,-0.73,-0.22,1
-26.37,23.93,49.32,0.36,-0.71,-0.23,1
-29.48,26.67,52.06,0.35,-0.70,-0.24,1
-31.49,29.42,56.46,0.35,-0.70,-0.24,1
-31.49,34.30,60.73,0.36,-0.67,-0.24,1
-29.24,39.98,65.61,0.36,-0.67,-0.25,1
-27.89,45.04,70.92,0.38,-0.65,-0.25,1
-25.82,49.44,76.11,0.41,-0.63,-0.25,1
-21.97,52.12,80.51,0.47,-0.61,-0.25,1
-16.97,51.82,82.82,0.52,-0.60,-0.26,1
-11.17,47.12,82.46,0.58,-0.59,-0.27,1
-6.59,36.99,78.31,0.63,-0.59,-0.29,1
-4.09,22.52,71.47,0.65,-0.59,-0.31,1
-3.72,7.63,64.94,0.63,-0.59,-0.36,1
-5.49,-3.36,61.34,0.58,-0.60,-0.41,1
-10.31,-6.59,60.85,0.56,-0.62,-0.44,1
-16.85,-3.17,61.46,0.53,-0.59,-0.50,1
-23.38,6.96,64.03,0.55,-0.49,-0.53,1
-26.37,21.85,70.37,0.63,-0.48,-0.51,1
-26.92,35.71,75.26,0.76,-0.49,-0.48,1
-28.20,40.71,71.47,0.86,-0.47,-0.45,1
-27.40,35.52,62.50,0.91,-0.47,-0.44,1
-27.10,24.78,52.67,0.91,-0.48,-0.44,1
-27.77,11.66,43.03,0.86,-0.50,-0.43,1
-28.63,0.37,35.46,0.76,-0.53,-0.43,1
-31.74,-4.39,31.80,0.67,-0.54,-0.43,1
-36.93,-4.15,33.33,0.61,-0.52,-0.37,1
-40.16,-1.83,39.18,0.58,-0.45,-0.32,1
-36.50,2.20,49.26,0.62,-0.40,-0.27,1
-27.89,5.92,62.44,0.69,-0.38,-0.21,1
-16.72,5.07,74.52,0.76,-0.38,-0.18,1
-5.55,-2.93,83.31,0.81,-0.39,-0.18,1
4.70,-16.97,87.52,0.83,-0.43,-0.19,1
13.24,-34.91,87.28,0.82,-0.45,-0.24,1
17.88,-52.98,83.80,0.77,-0.45,-0.27,1
19.53,-69.76,80.26,0.71,-0.46,-0.28,1
21.24,-83.56,79.22,0.64,-0.45,-0.24,1
24.17,-94.79,81.67,0.59,-0.42,-0.18,1
29.72,-103.76,89.97,0.56,-0.37,-0.13,1
36.13,-111.33,104.25,0.55,-0.33,-0.11,1
42.97,-116.39,123.47,0.59,-0.26,-0.11,1
50.11,-119.32,144.90,0.63,-0.18,-0.11,1
56.27,-119.69,165.83,0.72,-0.12,-0.11,1
60.24,-119.02,183.53,0.81,-0.08,-0.13,1
60.30,-117.31,193.48,0.91,-0.07,-0.17,1
54.57,-114.56,192.50,0.99,-0.07,-0.22,1
43.40,-106.51,181.64,1.02,-0.11,-0.29,1
26.86,-88.32,160.58,1.04,-0.17,-0.33,1
5.37,-59.20,129.88,1.05,-0.18,-0.32,1
-16.24,-27.22,95.76,1.03,-0.16,-0.28,1
-33.94,-0.24,64.76,0.99,-0.04,-0.21,1
-44.25,20.69,45.90,0.96,0.04,-0.12,1
-47.12,32.10,39.00,0.98,0.13,0.00,1
-42.66,31.56,45.23,0.98,0.15,0.08,1
-33.81,21.30,59.45,1.01,0.16,0.16,1
-20.69,-0.37,78.12,1.04,0.15,0.17,1
-8.24,-21.18,99.24,1.06,0.14,0.13,1
1.53,-38.64,118.29,1.09,0.11,0.05,1
6.71,-49.80,131.29,1.13,0.10,-0.06,1
4.46,-51.15,136.84,1.17,0.07,-0.14,1
-3.54,-41.87,129.94,1.23,0.04,-0.16,1
-14.22,-26.61,114.14,1.27,0.10,-0.07,1
-20.57,-18.74,97.17,1.21,0.09,-0.04,1
-25.63,-9.40,73.49,1.22,0.15,0.02,1
-26.55,-2.14,59.27,1.16,0.15,0.06,1
-25.88,3.91,48.71,1.13,0.16,0.09,1
-24.72,9.28,42.54,1.11,0.17,0.09,1
-24.48,13.49,41.81,1.10,0.21,0.09,1
-22.34,16.42,45.29,1.12,0.19,0.10,1
-18.55,17.82,47.91,1.17,0.16,0.10,1
-13.55,16.42,46.81,1.19,0.15,0.07,1
-9.52,15.75,45.17,1.20,0.15,0.04,1
-7.26,17.52,43.09,1.23,0.16,0.01,1
