gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z, eating
1.28,1.83,-1.10,0.03,-0.49,0.88,0
1.46,1.71,-0.61,0.04,-0.49,0.89,0
1.28,1.59,-0.24,0.03,-0.50,0.89,0
1.10,1.77,-0.18,0.02,-0.50,0.88,0
1.40,1.83,-0.06,0.02,-0.49,0.88,0
1.34,1.65,0.06,0.02,-0.50,0.89,0
1.16,1.53,0.18,0.03,-0.49,0.89,0
1.16,1.65,0.67,0.03,-0.49,0.89,0
1.34,1.77,0.85,0.03,-0.49,0.89,0
1.59,1.83,0.92,0.02,-0.49,0.89,0
1.71,1.95,0.92,0.02,-0.49,0.89,0
1.89,2.08,0.98,0.02,-0.48,0.89,0
2.08,2.01,0.61,0.02,-0.48,0.88,0
2.14,1.89,0.49,0.02,-0.48,0.88,0
2.08,1.83,0.43,0.03,-0.48,0.88,0
1.89,2.01,0.37,0.04,-0.47,0.88,0
1.59,2.14,0.18,0.04,-0.47,0.88,0
1.53,1.77,0.00,0.04,-0.47,0.88,0
1.10,1.65,-0.18,0.04,-0.48,0.88,0
0.85,1.53,0.00,0.04,-0.48,0.89,0
0.98,1.34,0.00,0.04,-0.48,0.89,0
1.40,1.22,-0.12,0.04,-0.49,0.89,0
1.34,0.98,-0.12,0.03,-0.49,0.89,0
1.16,0.67,0.00,0.03,-0.49,0.89,0
1.22,0.49,0.12,0.03,-0.49,0.89,0
1.10,0.73,0.55,0.03,-0.49,0.89,0
1.22,0.67,0.79,0.03,-0.49,0.89,0
1.46,0.79,0.98,0.03,-0.49,0.89,0
1.34,0.92,0.79,0.02,-0.49,0.89,0
1.46,0.79,0.67,0.02,-0.49,0.89,0
1.40,0.92,0.67,0.01,-0.49,0.89,0
1.71,1.10,0.67,0.02,-0.49,0.89,0
2.14,1.28,0.43,0.02,-0.48,0.88,0
2.44,1.40,0.24,0.03,-0.48,0.88,0
2.20,1.59,0.00,0.03,-0.49,0.88,0
1.95,1.40,-0.31,0.04,-0.49,0.88,0
2.01,1.34,-0.43,0.04,-0.48,0.88,0
1.89,1.53,-0.67,0.04,-0.48,0.88,0
1.46,1.53,-0.92,0.04,-0.49,0.88,0
1.46,1.53,-0.98,0.03,-0.49,0.88,0
1.28,1.40,-1.16,0.03,-0.50,0.88,0
1.10,1.28,-1.34,0.03,-0.50,0.88,0
1.34,0.98,-1.22,0.02,-0.50,0.88,0
1.53,0.79,-1.22,0.02,-0.50,0.88,0
