gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
0.55,1.16,0.67,0.02,-0.19,0.98,1
0.92,1.53,0.49,0.02,-0.20,0.98,1
1.34,1.89,0.43,0.02,-0.21,0.98,1
1.65,1.65,0.55,0.02,-0.21,0.98,1
1.28,1.46,0.73,0.02,-0.21,0.97,1
1.22,1.46,0.98,0.02,-0.20,0.98,1
1.34,1.22,0.85,0.02,-0.20,0.98,1
1.71,1.34,1.04,0.02,-0.21,0.98,1
1.65,1.40,1.22,0.02,-0.20,0.98,1
1.40,1.28,1.28,0.03,-0.20,0.98,1
1.22,1.46,1.34,0.02,-0.21,0.98,1
0.73,1.59,1.46,0.03,-0.21,0.98,1
0.49,1.59,1.53,0.03,-0.21,0.98,1
0.43,1.65,1.95,0.03,-0.21,0.98,1
0.61,1.46,2.14,0.03,-0.20,0.98,1
1.10,1.40,2.14,0.03,-0.20,0.97,1
1.65,1.53,2.08,0.03,-0.21,0.97,1
1.59,1.53,2.08,0.03,-0.21,0.98,1
0.79,1.46,2.01,0.03,-0.21,0.99,1
0.73,2.08,2.01,0.03,-0.21,0.98,1
0.67,2.38,1.95,0.03,-0.21,0.98,1
0.61,2.75,1.89,0.03,-0.21,0.98,1
0.67,2.62,1.89,0.03,-0.20,0.97,1
1.22,2.93,1.65,0.03,-0.21,0.97,1
1.59,3.23,1.65,0.04,-0.21,0.97,1
1.83,3.36,1.83,0.04,-0.21,0.97,1
1.89,3.36,1.83,0.04,-0.21,0.97,1
1.65,3.60,1.65,0.04,-0.22,0.97,1
1.16,3.42,1.95,0.03,-0.22,0.97,1
0.55,3.78,1.83,0.03,-0.21,0.97,1
0.43,3.97,1.95,0.03,-0.20,0.96,1
0.92,3.72,1.77,0.03,-0.21,0.96,1
1.46,3.85,1.59,0.03,-0.21,0.97,1
2.14,3.78,1.89,0.03,-0.21,0.97,1
2.75,3.72,1.89,0.03,-0.21,0.97,1
2.93,3.66,1.77,0.03,-0.22,0.97,1
3.05,3.17,2.01,0.03,-0.22,0.96,1
3.17,2.93,2.26,0.02,-0.22,0.97,1
3.11,2.81,2.69,0.02,-0.23,0.97,1
3.11,2.62,3.05,0.03,-0.23,0.98,1
3.72,2.50,3.78,0.03,-0.22,0.99,1
4.88,1.89,4.33,0.03,-0.20,0.98,1
